model,annotation,tau,p
Sem-nCG@3_roberta_extractive,consistency,0.025570654222708718,0.8163333359792567
Sem-nCG@3_roberta_extractive,fluency,-0.11331924425612244,0.29838050819885464
Sem-nCG@3_roberta_extractive,relevance,-0.005307047745612058,0.9575572733869389
Sem-nCG@3_selene-llama3.1-8b_extractive,coherence,0.013441143661780038,0.8918784445465587
Sem-nCG@3_selene-llama3.1-8b_extractive,consistency,-0.051141308445417435,0.6422828188091281
Sem-nCG@3_selene-llama3.1-8b_extractive,fluency,0.035903126893028894,0.741804429316661
Sem-nCG@3_selene-llama3.1-8b_extractive,relevance,0.04245638196489646,0.6702991458473417
Sem-nCG@3_yulan-mini_extractive,coherence,0.1634254541384463,0.09953846442651314
Sem-nCG@3_yulan-mini_extractive,consistency,0.056231525491094295,0.610760248522463
Sem-nCG@3_yulan-mini_extractive,fluency,0.023653808663688842,0.8287428046408523
Sem-nCG@3_yulan-mini_extractive,relevance,0.22681444404784634,0.02340824583992078
Sem-nCG@3_falcon-7b_extractive,coherence,0.014955818005571562,0.8799326812500661
Sem-nCG@3_falcon-7b_extractive,consistency,-0.27923797848598847,0.011308009610151376
Sem-nCG@3_falcon-7b_extractive,fluency,-0.06629041921978385,0.5434953207876161
Sem-nCG@3_falcon-7b_extractive,relevance,-0.15032686593743033,0.13219025112047217
